node,list-comprehension,set-comprehension,dict-comprehension,chain-compare,truth-value-test,starred
Assign,0.555338147,0.599648815,0.687415562,0.045226942,0,0
Call,0.247783606,0.144205443,0.096397298,0.034283638,0,0.936173121
Return,0.078158561,0.082418788,0.129121841,0.052858989,0,0
Starred,0.01898355,0.000219491,0,0,0,0
BinOp,0.015535472,0.024582968,0.000125094,0,0,0
Compare,0.014541202,0.094381036,0.005078809,0.000767243,0,0
Dict,0.012651451,0.003072871,0.019539655,0,0,0
keyword,0.012141569,0.006145742,0.026895171,0,0,0
Subscript,0.009305349,0,0.000850638,0,0,0
AugAssign,0.007479334,0.0154741,5.00E-05,0.000807624,0,0
ListComp,0.006121773,0.002304653,0.008806605,0,0,0
IfExp,0.00515937,0.00548727,0.00425319,0,0.094364423,0
Tuple,0.003817743,0.000987709,0.004028021,0.000121144,0,0.034159465
AnnAssign,0.002785231,0.005048288,0.009281961,8.08E-05,0,0
Lambda,0.002033155,0.000548727,0.001300976,0,0,0
List,0.001940739,0,0.001851389,0,0,0.02834403
DictComp,0.001367122,0.005267779,0,0,0,0
Attribute,0.001265145,0.00548727,0.00242682,0,0,0
BoolOp,0.000847679,0.000548727,0.000575432,4.04E-05,0,0
Yield,0.000704275,0.000109745,0.001451088,8.08E-05,0,0
Assert,0.000675594,0.000109745,0.000275206,0.382733,0.056028686,0
FormattedValue,0.000478015,0,2.50E-05,0,0,0
comprehension,0.000360104,0.002414399,0,0,0,0
GeneratorExp,0.000286809,0.000219491,0.000225169,0,0,0
UnaryOp,0.0002167,0.000548727,2.50E-05,0,0,0
YieldFrom,2.23E-05,0.000219491,0,0,0,0
ClassDef,0,0,0,0,0,6.21E-06
For,0,0,0,0.000121144,0,0
FunctionDef,0,0,0,0.001857535,0,0
If,0,0,0,0.472217735,0.837555392,0
Set,0,0,0,0,0,0.001317171
SetComp,0,0.000548727,0,0,0,0
While,0,0,0,0.008803101,0.012051499,0
